"Project Name",Status,Location,"End Use","Electrolyser Capacity (MW)","Project Capacity (Tonnes H2 P.A.)","More Info"
"IOCL, L&T and ReNew - Green Hydrogen at Mathura Refinery",Announced,"Uttar Pradesh - Mathura","Blending with Grey Hydrogen",31.900,5000.000,https://www.iocl.com/NewsDetails/59319
"IOCL, L&T and ReNew - Green Hydrogen at Panipat Refinery",Announced,"Haryana - Panipat","Blending with Grey Hydrogen",31.900,7000,https://www.iocl.com/NewsDetails/59319
"BPCL - Green Hydrogen Pilot","Under Construction","Madhya Pradesh - Bina",Refinery,20.000,3102.500,https://powerline.net.in/2021/11/24/bpcl-plans-to-install-indias-largest-green-hydrogen-unit/
"HPCL - Green Hydrogen Plant",Active,"Andhra Pradesh - Visakhapatnam",Refinery,2.400,370.000,https://psuwatch.com/hpcl-commission-370-tonne-per-annum-capacity-green-hydrogen-plant-december-2022-vizag-refinery-cmd/
"GIPCL Gujarat - 10+5 MW Green Hydrogen Project",Announced,Gujarat,"Chemical Industry",15.000,2354.200,https://www.gipcl.com/tenderdetail.htm?460/TenderDetail
"GAIL - Vijaipur PEM Electrolyser Project","Under construction","Madhya Pradesh - Guna","Blending with Natural Gas",10.000,1569.500,https://gailonline.com/PressRelease12052022.html
"OIL India - Jorhat Pump Station AEM Electrolyser",Commissioned,Assam,"Blending with Natural Gas",0.100,3.600,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1818482
"NTPC - City Gas at NTPC Kawas",Commissioned,"Gujarat - Surat","Blending with Natural Gas",0.050,0.700,https://ntpc.co.in/media/press-releases/ntpc-starts-indias-first-green-hydrogen-blending-operation-png-network
"THINK Gas - City Gas",Announced,"Madhya Pradesh","Blending with Natural Gas",5.000,550.000,https://www.think-gas.com/admin/wp-content/uploads/2022/08/II-Oil-Gas_New-2.pdf
"NTPC - Green Hydrogen for Green Methanol from CC Vindhyachal","Under construction","Madhya Pradesh - Vindhyachal","Methanol production",5.000,730.000,https://www.ntpc.co.in/sites/default/files/esg/NTPC-ESG-Presentation-10-08-2022.pdf
"ACME - Green Hydrogen and Green Ammonia Plant Rajasthan",Commissioned,"Rajasthan - Bikaner",Fertilizers,2.100,314.000,
"NTPC - Green Hydrogen for Fuel Cell Microgrid Simhadri","Under construction","Andhra Pradesh - Visakhapatnam",Microgrid,0.240,37.600,https://www.ntpc.co.in/en/ntpc-awards-india%E2%80%99s-first-green-hydrogen-microgrid-project
"NTPC - Green Hydrogen for Ladakh Fuelling Station",Commissioned,"Ladakh - Jammu and Kashmir",Mobility,0.206,29.200,https://www.ntpc.co.in/sites/default/files/esg/NTPC-ESG-Presentation-10-08-2022.pdf
"Hygenco Heartland Ujjain Hydrogen Plan",Commissioned,"Madhya Pradesh - Ujjain - Makone",Research,0,0,https://www.eqmagpro.com/hygenco-installs-indias-first-truly-green-hydrogen-demonstration-plant-in-ujjain-eq-mag-pro/
"NTPC - Green Hydrogen for Green Methanol from CC Ramagundam",Announced,"Telangana - Ramagundam","Methanol production",23.300,3650.000,https://ntpcrel.co.in/verticals/green-hydrogen/
"NTPC and GACL - Green Methanol and Ammonia",Announced,Gujarat,"Green Methanol",0,0,https://samvaad.ntpc.co.in/Home/Details/44276/Top%20Stories
"Mahagenco - Bhusawal Green Hydrogen Project ",Announced,"Maharashtra - Bhusawal","Blending with Grey Hydrogen",0.100,15.750,https://www.mahagenco.in/eerteels/2022/07/tender-document-for-green-H2-web-posting-1.pdf
"Ayana and Greenstat - Green Hydrogen Pilot",Announced,"Karnataka - Bangalore","Demo Plant",0,0,https://greenstat-india.com/niif-backed-ayana-renewable-power-partners-with-norway-based-greenstat-hydrogen-india-to-jointly-develop-green-hydrogen-projects-with-installation-of-an-initial-pilot-plant-in-bengaluru-karnataka/
"Fusion Fuel Green BGR Energy JV Hydrogen Plant",Announced,"Tamil Nadu - Cuddalore",NA,1,142,https://www.saurenergy.com/solar-energy-news/fusion-fuel-green-partners-with-bgr-energy-to-develop-green-hydrogen-projects-in-india
"Adani and TotalEnergies - Green Hydrogen Ecosystem",Announced,Gujarat,NA,0,0,
